"filename", "language", "C++", "comment", "blank", "total"
"d:\My_code\vscode\C++\homework4\Joseph_Problem.cpp", "C++", 14, 0, 1, 15
"d:\My_code\vscode\C++\homework4\Mat_Process.cpp", "C++", 23, 0, 2, 25
"d:\My_code\vscode\C++\homework4\combination.cpp", "C++", 26, 0, 2, 28
"d:\My_code\vscode\C++\homework4\count_dates.cpp", "C++", 28, 2, 1, 31
"d:\My_code\vscode\C++\homework4\cube_print.cpp", "C++", 25, 0, 2, 27
"d:\My_code\vscode\C++\homework4\half_finding.cpp", "C++", 52, 2, 2, 56
"d:\My_code\vscode\C++\homework4\magic_cube.cpp", "C++", 42, 0, 2, 44
"d:\My_code\vscode\C++\homework4\paimingci.cpp", "C++", 44, 33, 6, 83
"d:\My_code\vscode\C++\homework4\yanghuisanjiao.cpp", "C++", 42, 1, 2, 45
"Total", "-", 296, 38, 20, 354